+---------------------------------------------------------------+---------------------------------------------------------------------------------+------------+------------+---------+------+------+--------+--------+------------+
|                            Instance                           |                                      Module                                     | Total LUTs | Logic LUTs | LUTRAMs | SRLs |  FFs | RAMB36 | RAMB18 | DSP Blocks |
|               gntv_or_sync_fifo.mem                           |                                                        network_fifo_4_0__memory |          0 |          0 |       0 |    0 |    8 |      0 |      1 |          0 |
|                 (gntv_or_sync_fifo.mem)                       |                                                        network_fifo_4_0__memory |          0 |          0 |       0 |    0 |    8 |      0 |      0 |          0 |
|                 gbm.gbmg.gbmga.ngecc.bmg                      |                                            network_fifo_4_0__blk_mem_gen_v8_4_4 |          0 |          0 |       0 |    0 |    0 |      0 |      1 |          0 |
|                   inst_blk_mem_gen                            |                                      network_fifo_4_0__blk_mem_gen_v8_4_4_synth |          0 |          0 |       0 |    0 |    0 |      0 |      1 |          0 |
|                     gnbram.gnativebmg.native_blk_mem_gen      |                                               network_fifo_4_0__blk_mem_gen_top |          0 |          0 |       0 |    0 |    0 |      0 |      1 |          0 |
|                       valid.cstr                              |                                      network_fifo_4_0__blk_mem_gen_generic_cstr |          0 |          0 |       0 |    0 |    0 |      0 |      1 |          0 |
|                         ramloop[0].ram.r                      |                                        network_fifo_4_0__blk_mem_gen_prim_width |          0 |          0 |       0 |    0 |    0 |      0 |      1 |          0 |
|                           prim_noinit.ram                     |                                      network_fifo_4_0__blk_mem_gen_prim_wrapper |          0 |          0 |       0 |    0 |    0 |      0 |      1 |          0 |
|     fifo_4_concat                                             |                                                         network_fifo_4_concat_0 |          0 |          0 |       0 |    0 |    0 |      0 |      0 |          0 |
|     fifo_5                                                    |                                                                network_fifo_5_0 |         60 |         60 |       0 |    0 |   68 |      0 |      1 |          0 |
|       U0                                                      |                                         network_fifo_5_0_fifo_generator_v13_2_5 |         60 |         60 |       0 |    0 |   68 |      0 |      1 |          0 |
|         inst_fifo_gen                                         |                                   network_fifo_5_0_fifo_generator_v13_2_5_synth |         60 |         60 |       0 |    0 |   68 |      0 |      1 |          0 |
|           gconvfifo.rf                                        |                                             network_fifo_5_0_fifo_generator_top |         60 |         60 |       0 |    0 |   68 |      0 |      1 |          0 |
|             grf.rf                                            |                                         network_fifo_5_0_fifo_generator_ramfifo |         60 |         60 |       0 |    0 |   68 |      0 |      1 |          0 |
|               gntv_or_sync_fifo.gl0.rd                        |                                                       network_fifo_5_0_rd_logic |         41 |         41 |       0 |    0 |   28 |      0 |      0 |          0 |
|                 gr1.gr1_int.rfwft                             |                                                        network_fifo_5_0_rd_fwft |          9 |          9 |       0 |    0 |    8 |      0 |      0 |          0 |
|                 grss.rsts                                     |                                             network_fifo_5_0_rd_status_flags_ss |          1 |          1 |       0 |    0 |    2 |      0 |      0 |          0 |
|                   (grss.rsts)                                 |                                             network_fifo_5_0_rd_status_flags_ss |          0 |          0 |       0 |    0 |    2 |      0 |      0 |          0 |
