+----------------------------------------------------------+---------------------------------------------------------------------------------+------------+------------+---------+------+------+--------+--------+------------+
|                         Instance                         |                                      Module                                     | Total LUTs | Logic LUTs | LUTRAMs | SRLs |  FFs | RAMB36 | RAMB18 | DSP Blocks |
|               gntv_or_sync_fifo.gl0.wr                   |                                                       network_fifo_1_0_wr_logic |         14 |         14 |       0 |    0 |   35 |      0 |      0 |          0 |
|                 gwss.gpf.wrpf                            |                                                       network_fifo_1_0_wr_pf_ss |          3 |          3 |       0 |    0 |   13 |      0 |      0 |          0 |
|                 gwss.wsts                                |                                             network_fifo_1_0_wr_status_flags_ss |          4 |          4 |       0 |    0 |    2 |      0 |      0 |          0 |
|                   (gwss.wsts)                            |                                             network_fifo_1_0_wr_status_flags_ss |          3 |          3 |       0 |    0 |    2 |      0 |      0 |          0 |
|                   c0                                     |                                                        network_fifo_1_0_compare |          0 |          0 |       0 |    0 |    0 |      0 |      0 |          0 |
|                   c1                                     |                                                      network_fifo_1_0_compare_0 |          1 |          1 |       0 |    0 |    0 |      0 |      0 |          0 |
|                 wpntr                                    |                                                    network_fifo_1_0_wr_bin_cntr |          7 |          7 |       0 |    0 |   20 |      0 |      0 |          0 |
|               gntv_or_sync_fifo.mem                      |                                                         network_fifo_1_0_memory |          0 |          0 |       0 |    0 |    2 |      0 |      1 |          0 |
|                 (gntv_or_sync_fifo.mem)                  |                                                         network_fifo_1_0_memory |          0 |          0 |       0 |    0 |    2 |      0 |      0 |          0 |
|                 gbm.gbmg.gbmga.ngecc.bmg                 |                                             network_fifo_1_0_blk_mem_gen_v8_4_4 |          0 |          0 |       0 |    0 |    0 |      0 |      1 |          0 |
|                   inst_blk_mem_gen                       |                                       network_fifo_1_0_blk_mem_gen_v8_4_4_synth |          0 |          0 |       0 |    0 |    0 |      0 |      1 |          0 |
|                     gnbram.gnativebmg.native_blk_mem_gen |                                                network_fifo_1_0_blk_mem_gen_top |          0 |          0 |       0 |    0 |    0 |      0 |      1 |          0 |
|                       valid.cstr                         |                                       network_fifo_1_0_blk_mem_gen_generic_cstr |          0 |          0 |       0 |    0 |    0 |      0 |      1 |          0 |
|                         ramloop[0].ram.r                 |                                         network_fifo_1_0_blk_mem_gen_prim_width |          0 |          0 |       0 |    0 |    0 |      0 |      1 |          0 |
|                           prim_noinit.ram                |                                       network_fifo_1_0_blk_mem_gen_prim_wrapper |          0 |          0 |       0 |    0 |    0 |      0 |      1 |          0 |
|     fifo_10                                              |                                                               network_fifo_10_0 |         44 |         44 |       0 |    0 |   52 |      0 |      1 |          0 |
|       U0                                                 |                                       network_fifo_10_0__fifo_generator_v13_2_5 |         44 |         44 |       0 |    0 |   52 |      0 |      1 |          0 |
|         inst_fifo_gen                                    |                                 network_fifo_10_0__fifo_generator_v13_2_5_synth |         44 |         44 |       0 |    0 |   52 |      0 |      1 |          0 |
