+----------------------------------------------------------+----------------------------------------------------------------+------------+------------+---------+------+------+--------+--------+------------+
|                         Instance                         |                             Module                             | Total LUTs | Logic LUTs | LUTRAMs | SRLs |  FFs | RAMB36 | RAMB18 | DSP Blocks |
|                 wpntr                                    |                                   network_fifo_0_0_wr_bin_cntr |         11 |         11 |       0 |    0 |   18 |      0 |      0 |          0 |
|               gntv_or_sync_fifo.mem                      |                                        network_fifo_0_0_memory |          0 |          0 |       0 |    0 |    1 |      0 |      1 |          0 |
|                 (gntv_or_sync_fifo.mem)                  |                                        network_fifo_0_0_memory |          0 |          0 |       0 |    0 |    1 |      0 |      0 |          0 |
|                 gbm.gbmg.gbmga.ngecc.bmg                 |                            network_fifo_0_0_blk_mem_gen_v8_4_4 |          0 |          0 |       0 |    0 |    0 |      0 |      1 |          0 |
|                   inst_blk_mem_gen                       |                      network_fifo_0_0_blk_mem_gen_v8_4_4_synth |          0 |          0 |       0 |    0 |    0 |      0 |      1 |          0 |
|                     gnbram.gnativebmg.native_blk_mem_gen |                               network_fifo_0_0_blk_mem_gen_top |          0 |          0 |       0 |    0 |    0 |      0 |      1 |          0 |
|                       valid.cstr                         |                      network_fifo_0_0_blk_mem_gen_generic_cstr |          0 |          0 |       0 |    0 |    0 |      0 |      1 |          0 |
|                         ramloop[0].ram.r                 |                        network_fifo_0_0_blk_mem_gen_prim_width |          0 |          0 |       0 |    0 |    0 |      0 |      1 |          0 |
|                           prim_noinit.ram                |                      network_fifo_0_0_blk_mem_gen_prim_wrapper |          0 |          0 |       0 |    0 |    0 |      0 |      1 |          0 |
|     fifo_1                                               |                                               network_fifo_1_0 |         47 |         47 |       0 |    0 |   53 |      0 |      1 |          0 |
|       U0                                                 |                        network_fifo_1_0_fifo_generator_v13_2_5 |         47 |         47 |       0 |    0 |   53 |      0 |      1 |          0 |
|         inst_fifo_gen                                    |                  network_fifo_1_0_fifo_generator_v13_2_5_synth |         47 |         47 |       0 |    0 |   53 |      0 |      1 |          0 |
|           gconvfifo.rf                                   |                            network_fifo_1_0_fifo_generator_top |         47 |         47 |       0 |    0 |   53 |      0 |      1 |          0 |
|             grf.rf                                       |                        network_fifo_1_0_fifo_generator_ramfifo |         47 |         47 |       0 |    0 |   53 |      0 |      1 |          0 |
|               gntv_or_sync_fifo.gl0.rd                   |                                      network_fifo_1_0_rd_logic |         36 |         36 |       0 |    0 |   30 |      0 |      0 |          0 |
|                 gr1.gr1_int.rfwft                        |                                       network_fifo_1_0_rd_fwft |          8 |          8 |       0 |    0 |    8 |      0 |      0 |          0 |
|                 grss.rsts                                |                            network_fifo_1_0_rd_status_flags_ss |          1 |          1 |       0 |    0 |    2 |      0 |      0 |          0 |
|                   (grss.rsts)                            |                            network_fifo_1_0_rd_status_flags_ss |          0 |          0 |       0 |    0 |    2 |      0 |      0 |          0 |
|                   c1                                     |                                     network_fifo_1_0_compare_1 |          0 |          0 |       0 |    0 |    0 |      0 |      0 |          0 |
|                   c2                                     |                                     network_fifo_1_0_compare_2 |          1 |          1 |       0 |    0 |    0 |      0 |      0 |          0 |
|                 rpntr                                    |                                   network_fifo_1_0_rd_bin_cntr |         27 |         27 |       0 |    0 |   20 |      0 |      0 |          0 |
|               gntv_or_sync_fifo.gl0.wr                   |                                      network_fifo_1_0_wr_logic |         11 |         11 |       0 |    0 |   22 |      0 |      0 |          0 |
|                 gwss.wsts                                |                            network_fifo_1_0_wr_status_flags_ss |          4 |          4 |       0 |    0 |    2 |      0 |      0 |          0 |
|                   (gwss.wsts)                            |                            network_fifo_1_0_wr_status_flags_ss |          3 |          3 |       0 |    0 |    2 |      0 |      0 |          0 |
|                   c0                                     |                                       network_fifo_1_0_compare |          0 |          0 |       0 |    0 |    0 |      0 |      0 |          0 |
|                   c1                                     |                                     network_fifo_1_0_compare_0 |          1 |          1 |       0 |    0 |    0 |      0 |      0 |          0 |
|                 wpntr                                    |                                   network_fifo_1_0_wr_bin_cntr |          7 |          7 |       0 |    0 |   20 |      0 |      0 |          0 |
|               gntv_or_sync_fifo.mem                      |                                        network_fifo_1_0_memory |          0 |          0 |       0 |    0 |    1 |      0 |      1 |          0 |
|                 (gntv_or_sync_fifo.mem)                  |                                        network_fifo_1_0_memory |          0 |          0 |       0 |    0 |    1 |      0 |      0 |          0 |
|                 gbm.gbmg.gbmga.ngecc.bmg                 |                            network_fifo_1_0_blk_mem_gen_v8_4_4 |          0 |          0 |       0 |    0 |    0 |      0 |      1 |          0 |
|                   inst_blk_mem_gen                       |                      network_fifo_1_0_blk_mem_gen_v8_4_4_synth |          0 |          0 |       0 |    0 |    0 |      0 |      1 |          0 |
|                     gnbram.gnativebmg.native_blk_mem_gen |                               network_fifo_1_0_blk_mem_gen_top |          0 |          0 |       0 |    0 |    0 |      0 |      1 |          0 |
|                       valid.cstr                         |                      network_fifo_1_0_blk_mem_gen_generic_cstr |          0 |          0 |       0 |    0 |    0 |      0 |      1 |          0 |
|                         ramloop[0].ram.r                 |                        network_fifo_1_0_blk_mem_gen_prim_width |          0 |          0 |       0 |    0 |    0 |      0 |      1 |          0 |
|                           prim_noinit.ram                |                      network_fifo_1_0_blk_mem_gen_prim_wrapper |          0 |          0 |       0 |    0 |    0 |      0 |      1 |          0 |
|     fifo_10                                              |                                              network_fifo_10_0 |         33 |         33 |       0 |    0 |   41 |      0 |      1 |          0 |
|       U0                                                 |                      network_fifo_10_0__fifo_generator_v13_2_5 |         33 |         33 |       0 |    0 |   41 |      0 |      1 |          0 |
|         inst_fifo_gen                                    |                network_fifo_10_0__fifo_generator_v13_2_5_synth |         33 |         33 |       0 |    0 |   41 |      0 |      1 |          0 |
|           gconvfifo.rf                                   |                          network_fifo_10_0__fifo_generator_top |         33 |         33 |       0 |    0 |   41 |      0 |      1 |          0 |
|             grf.rf                                       |                      network_fifo_10_0__fifo_generator_ramfifo |         33 |         33 |       0 |    0 |   41 |      0 |      1 |          0 |
|               gntv_or_sync_fifo.gl0.rd                   |                                    network_fifo_10_0__rd_logic |         24 |         24 |       0 |    0 |   24 |      0 |      0 |          0 |
|                 gr1.gr1_int.rfwft                        |                                     network_fifo_10_0__rd_fwft |          8 |          8 |       0 |    0 |    8 |      0 |      0 |          0 |
|                 grss.rsts                                |                          network_fifo_10_0__rd_status_flags_ss |          0 |          0 |       0 |    0 |    2 |      0 |      0 |          0 |
