+----------------------------------------------------------+----------------------------------------------------------------+------------+------------+---------+------+------+--------+--------+------------+
|                         Instance                         |                             Module                             | Total LUTs | Logic LUTs | LUTRAMs | SRLs |  FFs | RAMB36 | RAMB18 | DSP Blocks |
|           gconvfifo.rf                                   |                    network_buffer_11_fifo_0_fifo_generator_top |         31 |         31 |       0 |    0 |   43 |      0 |      1 |          0 |
|             grf.rf                                       |                network_buffer_11_fifo_0_fifo_generator_ramfifo |         31 |         31 |       0 |    0 |   43 |      0 |      1 |          0 |
|               gntv_or_sync_fifo.gl0.rd                   |                              network_buffer_11_fifo_0_rd_logic |         19 |         19 |       0 |    0 |   25 |      0 |      0 |          0 |
|                 gr1.gr1_int.rfwft                        |                               network_buffer_11_fifo_0_rd_fwft |          9 |          9 |       0 |    0 |    8 |      0 |      0 |          0 |
|                 grss.gpe.rdpe                            |                              network_buffer_11_fifo_0_rd_pe_ss |          2 |          2 |       0 |    0 |    7 |      0 |      0 |          0 |
|                 grss.rsts                                |                    network_buffer_11_fifo_0_rd_status_flags_ss |          0 |          0 |       0 |    0 |    2 |      0 |      0 |          0 |
|                 rpntr                                    |                           network_buffer_11_fifo_0_rd_bin_cntr |          8 |          8 |       0 |    0 |    8 |      0 |      0 |          0 |
|               gntv_or_sync_fifo.gl0.wr                   |                              network_buffer_11_fifo_0_wr_logic |         12 |         12 |       0 |    0 |   10 |      0 |      0 |          0 |
|                 gwss.wsts                                |                    network_buffer_11_fifo_0_wr_status_flags_ss |          4 |          4 |       0 |    0 |    2 |      0 |      0 |          0 |
|                 wpntr                                    |                           network_buffer_11_fifo_0_wr_bin_cntr |          8 |          8 |       0 |    0 |    8 |      0 |      0 |          0 |
|               gntv_or_sync_fifo.mem                      |                                network_buffer_11_fifo_0_memory |          0 |          0 |       0 |    0 |    8 |      0 |      1 |          0 |
|                 (gntv_or_sync_fifo.mem)                  |                                network_buffer_11_fifo_0_memory |          0 |          0 |       0 |    0 |    8 |      0 |      0 |          0 |
